       gamfz        mwfz         tfz           p       ispfz
   1.2119E+00  2.2905E+01  3.6969E+03  1.3000E+02        -NAN
   1.2116E+00  2.2925E+01  3.7061E+03  1.4000E+02  0.0000E+00
   1.2143E+00  2.2925E+01  3.3491E+03  7.8631E+01  1.2145E+03
   1.2116E+00  2.2925E+01  3.7061E+03  1.4000E+02  0.0000E+00
   1.2114E+00  2.2943E+01  3.7146E+03  1.5000E+02  0.0000E+00
   1.2140E+00  2.2943E+01  3.3572E+03  8.4255E+01  1.2154E+03
   1.2114E+00  2.2943E+01  3.7146E+03  1.5000E+02  0.0000E+00
   1.2111E+00  2.2960E+01  3.7226E+03  1.6000E+02  0.0000E+00
   1.2138E+00  2.2960E+01  3.3648E+03  8.9880E+01  1.2161E+03
   1.2111E+00  2.2960E+01  3.7226E+03  1.6000E+02  0.0000E+00
   1.2109E+00  2.2975E+01  3.7300E+03  1.7000E+02  0.0000E+00
   1.2135E+00  2.2975E+01  3.3719E+03  9.5506E+01  1.2169E+03
   1.2109E+00  2.2975E+01  3.7300E+03  1.7000E+02        -NAN
   1.2113E+00  2.3442E+01  3.6501E+03  6.0000E+01  0.0000E+00
   1.2140E+00  2.3442E+01  3.2990E+03  3.3702E+01  1.1919E+03
   1.2113E+00  2.3442E+01  3.6501E+03  6.0000E+01  0.0000E+00
   1.2106E+00  2.3490E+01  3.6723E+03  7.0000E+01  0.0000E+00
   1.2133E+00  2.3490E+01  3.3201E+03  3.9329E+01  1.1941E+03
   1.2106E+00  2.3490E+01  3.6723E+03  7.0000E+01  1.6840E-04
   1.2100E+00  2.3532E+01  3.6915E+03  8.0000E+01  0.0000E+00
   1.2127E+00  2.3532E+01  3.3384E+03  4.4957E+01  1.1960E+03
   1.2100E+00  2.3532E+01  3.6915E+03  8.0000E+01  0.0000E+00
   1.2095E+00  2.3570E+01  3.7085E+03  9.0000E+01  0.0000E+00
   1.2121E+00  2.3570E+01  3.3546E+03  5.0586E+01  1.1977E+03
   1.2095E+00  2.3570E+01  3.7085E+03  9.0000E+01  1.6769E-04
   1.2090E+00  2.3603E+01  3.7236E+03  1.0000E+02  0.0000E+00
   1.2116E+00  2.3603E+01  3.3690E+03  5.6217E+01  1.1991E+03
   1.2090E+00  2.3603E+01  3.7236E+03  1.0000E+02  2.3815E-04
   1.2086E+00  2.3633E+01  3.7373E+03  1.1000E+02  0.0000E+00
   1.2112E+00  2.3633E+01  3.3821E+03  6.1848E+01  1.2005E+03
   1.2086E+00  2.3633E+01  3.7373E+03  1.1000E+02  1.6628E-04
   1.2082E+00  2.3661E+01  3.7498E+03  1.2000E+02  0.0000E+00
   1.2108E+00  2.3661E+01  3.3940E+03  6.7480E+01  1.2017E+03
   1.2082E+00  2.3661E+01  3.7498E+03  1.2000E+02        -NAN
   1.2079E+00  2.3686E+01  3.7613E+03  1.3000E+02  0.0000E+00
   1.2104E+00  2.3686E+01  3.4049E+03  7.3112E+01  1.2028E+03
   1.2079E+00  2.3686E+01  3.7613E+03  1.3000E+02        -NAN
   1.2075E+00  2.3710E+01  3.7719E+03  1.4000E+02  0.0000E+00
   1.2101E+00  2.3710E+01  3.4150E+03  7.8746E+01  1.2038E+03
   1.2075E+00  2.3710E+01  3.7719E+03  1.4000E+02  0.0000E+00
   1.2072E+00  2.3732E+01  3.7817E+03  1.5000E+02  0.0000E+00
   1.2098E+00  2.3732E+01  3.4244E+03  8.4380E+01  1.2048E+03
   1.2072E+00  2.3732E+01  3.7817E+03  1.5000E+02  0.0000E+00
   1.2069E+00  2.3752E+01  3.7910E+03  1.6000E+02  0.0000E+00
   1.2095E+00  2.3752E+01  3.4332E+03  9.0014E+01  1.2056E+03
   1.2069E+00  2.3752E+01  3.7910E+03  1.6000E+02  0.0000E+00
   1.2067E+00  2.3771E+01  3.7996E+03  1.7000E+02  0.0000E+00
   1.2092E+00  2.3771E+01  3.4415E+03  9.5649E+01  1.2065E+03
   1.2067E+00  2.3771E+01  3.7996E+03  1.7000E+02  0.0000E+00
   1.2088E+00  2.4090E+01  3.6728E+03  6.0000E+01  0.0000E+00
   1.2114E+00  2.4090E+01  3.3233E+03  3.3733E+01  1.1788E+03
   1.2088E+00  2.4090E+01  3.6728E+03  6.0000E+01        -NAN
   1.2080E+00  2.4143E+01  3.6961E+03  7.0000E+01  0.0000E+00
   1.2106E+00  2.4143E+01  3.3456E+03  3.9365E+01  1.1811E+03
   1.2080E+00  2.4143E+01  3.6961E+03  7.0000E+01  0.0000E+00
   1.2074E+00  2.4189E+01  3.7164E+03  8.0000E+01  0.0000E+00
   1.2100E+00  2.4189E+01  3.3650E+03  4.4999E+01  1.1830E+03
   1.2074E+00  2.4189E+01  3.7164E+03  8.0000E+01  0.0000E+00
   1.2068E+00  2.4230E+01  3.7344E+03  9.0000E+01  0.0000E+00
   1.2094E+00  2.4230E+01  3.3821E+03  5.0634E+01  1.1847E+03
   1.2068E+00  2.4230E+01  3.7344E+03  9.0000E+01  0.0000E+00
   1.2063E+00  2.4267E+01  3.7505E+03  1.0000E+02  0.0000E+00
   1.2089E+00  2.4267E+01  3.3975E+03  5.6270E+01  1.1863E+03
   1.2063E+00  2.4267E+01  3.7505E+03  1.0000E+02  0.0000E+00
   1.2059E+00  2.4300E+01  3.7650E+03  1.1000E+02  0.0000E+00
   1.2084E+00  2.4300E+01  3.4114E+03  6.1907E+01  1.1876E+03
   1.2059E+00  2.4300E+01  3.7650E+03  1.1000E+02  1.6557E-04
   1.2055E+00  2.4331E+01  3.7783E+03  1.2000E+02  0.0000E+00
   1.2080E+00  2.4331E+01  3.4241E+03  6.7545E+01  1.1889E+03
   1.2055E+00  2.4331E+01  3.7783E+03  1.2000E+02        -NAN
   1.2051E+00  2.4359E+01  3.7906E+03  1.3000E+02  0.0000E+00
   1.2076E+00  2.4359E+01  3.4358E+03  7.3184E+01  1.1900E+03
   1.2051E+00  2.4359E+01  3.7906E+03  1.3000E+02        -NAN
   1.2047E+00  2.4385E+01  3.8020E+03  1.4000E+02  0.0000E+00
   1.2072E+00  2.4385E+01  3.4467E+03  7.8823E+01  1.1911E+03
   1.2047E+00  2.4385E+01  3.8020E+03  1.4000E+02  1.6269E-04
   1.2044E+00  2.4409E+01  3.8125E+03  1.5000E+02  0.0000E+00
   1.2069E+00  2.4409E+01  3.4568E+03  8.4464E+01  1.1921E+03
   1.2044E+00  2.4409E+01  3.8125E+03  1.5000E+02        -NAN
   1.2041E+00  2.4432E+01  3.8224E+03  1.6000E+02  0.0000E+00
   1.2065E+00  2.4432E+01  3.4663E+03  9.0104E+01  1.1930E+03
